season_id,player_id,player_name,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,fantasy_pts,video_available,fg,ft
41974,77993,Truck Robinson,1610612764,WAS,Washington Bullets,0047409404,1975-05-25,WAS vs. GOS,L,10,0,2,NA,NA,0,0,0,1,1,3,2,0,NA,2,0,NA,0,0,NA
41974,76607,Charles Dudley,1610612744,GOS,Golden State Warriors,0047409404,1975-05-25,GOS @ WAS,W,6,0,1,NA,NA,0,0,0,0,0,2,1,0,NA,1,0,NA,0,0,NA
41974,76807,Dick Gibbs,1610612764,WAS,Washington Bullets,0047409404,1975-05-25,WAS vs. GOS,L,4,0,3,NA,NA,0,0,0,1,1,0,0,0,NA,0,0,NA,0,0,NA
41974,76965,Clem Haskins,1610612764,WAS,Washington Bullets,0047409404,1975-05-25,WAS vs. GOS,L,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA
41974,76253,Bill Bridges,1610612744,GOS,Golden State Warriors,0047400403,1975-05-23,GOS vs. WAS,W,9,0,2,NA,NA,0,0,1,2,3,0,1,1,NA,1,0,NA,0,0,NA
41974,76226,Steve Bracey,1610612744,GOS,Golden State Warriors,0047400403,1975-05-23,GOS vs. WAS,W,3,0,0,NA,NA,0,0,0,0,0,0,1,0,NA,0,0,NA,0,NA,NA
41974,76607,Charles Dudley,1610612744,GOS,Golden State Warriors,0047400403,1975-05-23,GOS vs. WAS,W,4,0,1,NA,NA,0,0,0,1,1,1,0,0,NA,2,0,NA,0,0,NA
41974,77305,Tom Kozelko,1610612764,WAS,Washington Bullets,0047400403,1975-05-23,WAS @ GOS,L,8,0,2,NA,NA,0,0,2,0,2,0,0,0,NA,1,0,NA,0,0,NA
41974,77305,Tom Kozelko,1610612764,WAS,Washington Bullets,0047400402,1975-05-20,WAS @ GOS,L,1,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA
41974,76607,Charles Dudley,1610612744,GOS,Golden State Warriors,0047400402,1975-05-20,GOS vs. WAS,W,3,0,1,NA,NA,0,0,0,1,1,0,0,0,NA,1,0,NA,0,0,NA
41974,76130,Butch Beard,1610612744,GOS,Golden State Warriors,0047400402,1975-05-20,GOS vs. WAS,W,7,0,2,NA,NA,0,0,0,1,1,1,1,0,NA,3,0,NA,0,0,NA
41974,77917,Clifford Ray,1610612744,GOS,Golden State Warriors,0047400402,1975-05-20,GOS vs. WAS,W,23,0,1,NA,NA,0,0,4,4,8,3,0,4,NA,4,0,NA,0,0,NA
41974,77993,Truck Robinson,1610612764,WAS,Washington Bullets,0047400401,1975-05-18,WAS vs. GOS,L,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA
41974,76253,Bill Bridges,1610612744,GOS,Golden State Warriors,0047400401,1975-05-18,GOS @ WAS,W,10,0,1,NA,NA,0,0,0,1,1,0,1,0,NA,1,0,NA,0,0,NA
41974,76908,Matt Guokas,1610612741,CHI,Chicago Bulls,0047400317,1975-05-14,CHI @ GOS,L,4,0,2,NA,NA,0,0,0,1,1,0,0,0,NA,0,0,NA,0,0,NA
41974,76564,Derrek Dickey,1610612744,GOS,Golden State Warriors,0047400317,1975-05-14,GOS vs. CHI,W,7,0,1,NA,NA,0,0,0,1,1,0,0,0,NA,0,0,NA,0,0,NA
41974,77917,Clifford Ray,1610612744,GOS,Golden State Warriors,0047400317,1975-05-14,GOS vs. CHI,W,26,0,4,NA,NA,0,0,4,8,12,1,0,0,NA,4,0,NA,0,0,NA
41974,78585,Bobby Wilson,1610612741,CHI,Chicago Bulls,0047400316,1975-05-11,CHI vs. GOS,L,3,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
41974,600001,Nate Thurmond,1610612741,CHI,Chicago Bulls,0047400316,1975-05-11,CHI vs. GOS,L,23,0,3,NA,NA,0,2,1,5,6,5,1,4,NA,3,0,NA,0,0,0
41974,77168,Mickey Johnson,1610612741,CHI,Chicago Bulls,0047400316,1975-05-11,CHI vs. GOS,L,1,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
41974,77993,Truck Robinson,1610612764,WAS,Washington Bullets,0047400032,1975-05-11,WAS vs. BOS,W,1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA
41974,76789,Rowland Garrett,1610612741,CHI,Chicago Bulls,0047400316,1975-05-11,CHI vs. GOS,L,13,0,3,NA,NA,0,0,0,3,3,0,0,1,NA,5,0,NA,0,0,NA
41974,76055,Jim Ard,1610612738,BOS,Boston Celtics,0047400315,1975-05-09,BOS vs. WAS,W,5,0,2,NA,NA,0,0,NA,0,1,1,0,NA,NA,1,0,NA,0,0,NA
