"ID","Player","Team","Position","RkOv","Status","Score","Ros","+/-","MIN","FGA","FG%","3PTM","3PTA","FTA","FT%","PTS","REB","AST","ST","BLK","TO"
"*03lls*","Jaylen Brown","BOS","SG,G,SF,F","33","GRÊ","88.22","99%","0%","34.2","21.7",".477","1.9","5.7","7.4",".800","28.5","7.0","5.1","1.0","0.4","3.6"
"*03ad3*","Karl-Anthony Towns","NY","PF,F,C","34","VICE","87.87","100%","0%","31.1","13.9",".494","1.6","4.2","5.7",".854","20.2","12.0","2.9","0.9","0.6","2.5"
"*06ca8*","Amen Thompson","HOU","PG,SG,G,SF,PF,F","35","GRÊ","87.44","100%","0%","37.1","13.3",".523","0.4","1.6","4.8",".775","18.0","7.9","5.3","1.5","0.6","2.5"
"*04qru*","Donte DiVincenzo","MIN","PG,SG,G","36","VICE","87.43","95%","-1%","30.8","10.1",".411","2.9","7.7","1.3",".761","12.2","4.4","4.0","1.3","0.4","1.5"
"*06v5l*","Cooper Flagg","DAL","PG,SG,G,SF,F","37","KEILA","87.12","100%","0%","33.7","16.4",".469","1.0","3.4","4.6",".806","20.1","6.7","4.5","1.1","0.9","2.3"
"*06mjz*","Donovan Clingan","POR","C","38","Ewings","87.03","99%","0%","27.3","9.0",".527","1.1","3.2","2.8",".681","12.4","11.7","2.2","0.6","1.6","1.2"
"*06211*","Chet Holmgren","OKC","PF,F,C","39","SaareKar","87.02","100%","0%","29.3","11.5",".554","1.2","3.5","4.2",".797","17.2","9.0","1.7","0.6","1.9","1.6"
"*06v5n*","Kon Knueppel","CHA","PG,SG,G,SF,F","40","€$¥","86.68","95%","0%","31.6","13.4",".488","3.5","8.0","3.0",".870","19.1","5.3","3.4","0.7","0.2","2.0"
"*05qto*","LaMelo Ball","CHA","PG,G","41","GRÊ","86.68","100%","0%","27.6","17.1",".405","3.6","9.8","2.5",".893","19.7","4.8","7.1","1.2","0.2","2.8"
"*04ewn*","OG Anunoby","NY","SF,PF,F","42","JOH","86.47","99%","0%","33.0","12.1",".489","2.2","5.7","3.4",".812","16.7","5.2","2.2","1.6","0.7","2.0"
"*06mjv*","Reed Sheppard","HOU","PG,SG,G","43","KEILA","86.26","90%","0%","26.1","11.5",".432","2.7","6.8","1.2",".802","13.5","2.8","3.4","1.5","0.7","1.6"
"*03ad2*","Myles Turner","MIL","C","44","SaareKar","85.44","95%","-1%","27.2","9.1",".442","2.1","5.4","2.5",".750","12.0","5.3","1.5","0.7","1.5","1.2"
"*04qrp*","Miles Bridges","CHA","SF,PF,F","45","MCL","85.32","99%","0%","31.6","13.9",".449","2.0","6.1","3.4",".827","17.3","5.8","3.3","0.6","0.5","1.5"
"*05qtj*","Deni Avdija","POR","SG,G,SF,PF,F","46","GRÊ","85.24","100%","0%","33.4","16.2",".457","2.0","6.1","9.2",".805","24.2","7.0","6.8","0.8","0.6","3.9"
"*042nm*","Pascal Siakam","IND","SF,PF,F,C","47","JOH","85.12","99%","0%","33.5","18.5",".484","1.7","4.8","6.2",".682","23.8","6.6","3.9","1.1","0.4","2.2"
"*05qt0*","Saddiq Bey","NO","SF,PF,F","48","TOR","84.97","82%","0%","31.1","13.2",".449","2.0","5.7","4.1",".848","17.4","5.7","2.6","0.9","0.1","0.9"
"*0623e*","Collin Gillespie","PHO","PG,G","49","Pingud","84.79","79%","0%","28.9","10.7",".431","3.1","7.3","1.2",".867","13.3","4.2","4.8","1.3","0.2","1.6"
"*04qsa*","Jalen Brunson","NY","PG,G","50","KEILA","84.64","100%","0%","34.9","20.0",".463","2.7","7.3","5.8",".843","26.1","3.4","6.6","0.8","0.1","2.3"
"*06cd4*","Toumani Camara","POR","PF,F,C","51","KEILA","84.13","94%","0%","33.3","10.6",".429","2.5","7.0","1.7",".686","12.7","5.3","2.5","1.1","0.4","1.8"
"*06210*","Paolo Banchero","ORL","PF,F","52","KLU","84.06","100%","0%","34.9","16.1",".460","1.2","3.8","8.1",".779","22.2","8.5","5.0","0.7","0.6","3.0"
"*02ym0*","Andrew Wiggins","MIA","SG,G,SF,F","53","KEILA","83.93","96%","-1%","31.0","12.6",".474","2.0","5.0","2.4",".788","15.9","5.1","2.8","1.1","1.0","1.6"
"*06cca*","Brandon Miller","CHA","SG,G,SF,PF,F","54","SaareKar","83.91","99%","0%","30.1","16.3",".433","3.1","8.1","3.6",".891","20.4","5.0","3.5","1.1","0.8","2.8"
"*05qt1*","Payton Pritchard","BOS","PG,G","55","Ewings","83.5","99%","0%","32.5","13.8",".455","2.6","7.1","1.8",".877","16.6","4.0","5.3","0.8","0.1","1.3"
"*049kb*","De'Aaron Fox","SA","PG,SG,G","56","€$¥","83.48","98%","0%","31.3","14.7",".487","1.9","5.5","3.6",".762","19.0","3.8","6.3","1.2","0.3","2.3"
"*031lx*","CJ McCollum","ATL","PG,SG,G","57","€$¥","83.45","97%","0%","29.7","15.0",".455","2.5","6.7","3.3",".779","18.7","3.4","3.7","0.8","0.4","1.8"
"*027p0*","Nikola Vucevic","BOS","C","58","FA","83.31","85%","-3%","29.0","12.8",".496","1.6","4.3","1.5",".835","15.6","8.6","3.4","0.6","0.7","1.3"
"*04qrr*","Michael Porter","BKN","SF,PF,F","59","FA","83.28","99%","0%","32.5","18.4",".463","3.4","9.3","4.4",".859","24.2","7.1","3.0","1.1","0.3","2.3"
"*06cc7*","Brandin Podziemski","GS","SG,G,SF,F","60","KLU","83.13","96%","0%","28.1","10.3",".442","1.8","4.9","2.7",".757","12.8","5.2","3.7","1.1","0.2","1.6"
"*06cc5*","Anthony Black","ORL","PG,SG,G","61","FA","82.84","74%","-6%","30.7","12.3",".451","1.6","4.7","3.6",".730","15.3","3.9","3.8","1.4","0.7","2.1"
"*01eon*","DeMar DeRozan","SAC","SF,PF,F","62","Ewings","82.37","99%","0%","31.5","12.9",".497","0.6","1.9","5.7",".866","18.4","2.9","4.1","1.1","0.3","1.3"
"*062dn*","Julian Champagnie","SA","SF,PF,F","63","TOR","82.24","65%","-2%","27.8","8.4",".437","2.4","6.3","1.8",".840","11.2","5.7","1.5","0.8","0.5","0.9"
"*005kc*","Russell Westbrook","SAC","PG,SG,G","64","KEILA","82.13","87%","0%","28.9","13.1",".427","2.0","5.9","2.9",".694","15.2","5.4","6.7","1.3","0.2","3.3"
"*06v5h*","Derik Queen","NO","PF,F,C","65","TOR","82.03","79%","-3%","24.6","8.9",".482","0.3","1.0","3.3",".801","11.4","6.8","3.8","1.0","0.9","2.3"
"*04qrl*","Wendell Carter","ORL","C","66","MCL","81.28","88%","0%","29.6","8.3",".508","1.0","3.1","2.9",".792","11.8","7.6","2.1","0.8","0.6","1.2"
"*04qrj*","Jaren Jackson","UTA","PF,F,C","67","FA","80.95","72%","0%","30.3","15.0",".476","1.8","4.9","4.2",".803","19.4","5.7","2.0","1.1","1.4","2.2"
"*02xg9*","Rudy Gobert","MIN","C","68","KEILA","80.71","99%","0%","31.5","6.3",".697","0.0","0.1","4.2",".524","11.0","11.5","1.7","0.8","1.6","1.4"
"*051pb*","Nicolas Claxton","BKN","C","69","KLU","80.22","96%","-2%","28.3","8.5",".571","0.0","0.3","3.5",".601","11.8","7.1","3.8","0.7","1.2","1.4"
"*0011e*","LeBron James","LAL","SF,PF,F","70","JOH","80.21","99%","0%","33.4","15.6",".514","1.3","4.3","5.1",".740","21.1","5.8","6.8","1.2","0.6","3.0"
"*06cby*","Keyonte George","UTA","PG,G","71","SaareKar","80.12","93%","-6%","33.1","16.3",".456","2.5","6.7","7.0",".892","23.6","3.7","6.1","1.1","0.3","3.1"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F","72","FA","79.68","95%","-1%","34.3","19.2",".477","2.7","7.7","6.4",".896","26.7","6.9","2.1","1.0","0.5","1.5"
"*05uup*","Jay Huff","IND","C","73","FA","79.42","74%","-3%","20.7","7.4",".469","1.4","4.6","1.2",".830","9.4","3.8","1.4","0.5","1.9","0.9"
"*06mk7*","Kel'el Ware","MIA","PF,F,C","74","SaareKar","79.42","98%","0%","22.5","8.6",".529","1.1","2.9","1.3",".759","11.1","9.3","0.6","0.8","1.1","0.9"
"*06mju*","Alex Sarr","WAS","PF,F,C","75","GRÊ","79.26","99%","0%","27.3","13.7",".485","1.0","3.1","3.1",".694","16.5","7.4","2.7","0.8","2.0","1.7"
"*0621c*","Jalen Duren","DET","C","76","€$¥","79.14","100%","0%","27.6","11.6",".642","0.0","0.0","5.9",".730","19.2","10.5","1.6","0.9","0.8","1.7"
"*06mle*","Kyle Filipowski","UTA","PF,F,C","77","PH","79.05","93%","0%","22.8","7.8",".488","0.9","2.7","2.8",".749","10.6","6.9","2.4","1.0","0.5","1.6"
"*06217*","Dyson Daniels","ATL","PG,SG,G,SF,F","78","PH","78.95","100%","0%","33.2","10.2",".515","0.2","1.5","1.6",".615","11.7","6.6","6.0","1.9","0.4","1.8"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F","79","KLU","78.55","99%","0%","33.5","18.6",".452","1.9","5.8","7.9",".869","25.5","3.9","5.9","0.8","0.3","3.3"
"*06mjw*","Stephon Castle","SA","PG,SG,G","80","€$¥","78.26","99%","0%","29.8","12.1",".465","1.1","3.6","5.6",".735","16.5","5.0","7.1","1.2","0.3","3.1"
"*05uig*","Josh Giddey","CHI","PG,SG,G","81","Pingud","78.22","100%","0%","31.9","13.6",".455","2.0","5.2","4.3",".758","17.6","8.3","9.0","1.1","0.4","3.6"
"*05ujs*","Sandro Mamukelashvili","TOR","PF,F,C","82","FA","78.18","48%","-1%","21.7","7.7",".513","1.3","3.6","1.9",".758","10.7","4.8","1.9","0.7","0.5","0.8"
"*03r7z*","Norman Powell","MIA","SG,G,SF,F","83","Ewings","78.08","98%","0%","30.1","15.8",".473","2.7","7.1","5.7",".823","22.3","3.6","2.6","1.2","0.3","2.0"
"*06ccf*","Ausar Thompson","DET","SG,G,SF,PF,F","84","KLU","78.03","97%","0%","25.6","8.1",".512","0.1","0.4","2.8",".574","10.0","5.8","2.9","1.9","0.9","1.5"
"*06cab*","Jarace Walker","IND","SF,PF,F","85","€$¥","78.02","73%","+1%","25.7","9.5",".416","1.7","4.6","2.4",".754","11.5","5.1","2.4","0.8","0.3","1.8"
