"ID","Player","Team","Position","RkOv","Status","Score","Ros","+/-","MIN","FGA","FG%","3PTM","3PTA","FTA","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mk1*","Zach Edey","MEM","C","374","FA","34.26","67%","0%","25.8","8.9",".633","0.1","0.5","2.9",".781","13.6","11.1","1.1","0.6","1.9","2.4"
"*05ujm*","Sharife Cooper","WAS","PG,G","375","FA","34.21","8%","0%","16.1","5.5",".482","0.6","1.8","1.3",".789","6.9","2.2","2.5","0.3","0.1","1.3"
"*042nq*","Dejounte Murray","NO","PG,SG,G","376","SaareKar","33.53","86%","0%","27.6","13.1",".527","1.7","5.0","3.8",".842","18.7","5.1","6.2","1.6","0.2","3.5"
"*06mk9*","Dalton Knecht","LAL","SG,G,SF,F","377","FA","33.45","20%","0%","10.6","3.6",".448","0.6","2.1","0.4",".700","4.2","1.4","0.3","0.2","0.2","0.4"
"*03r7e*","Cameron Payne","PHI","PG,G","378","FA","33.26","30%","-13%","17.6","7.3",".363","1.5","4.6","1.2",".850","7.8","1.9","2.8","1.3","0.4","0.6"
"*04ews*","Tony Bradley","(N/A)","C","379","FA","33.22","3%","0%","11.0","2.8",".557","0.0","0.1","1.1",".744","4.0","2.8","0.5","0.2","0.2","0.4"
"*06ca7*","Cam Whitmore","WAS","SF,PF,F","380","FA","33.22","41%","0%","16.9","8.0",".456","0.8","2.7","1.5",".742","9.2","2.8","0.7","0.7","0.4","0.9"
"*06cei*","Leonard Miller","CHI","SF,F","381","GRÊ","33.01","31%","+5%","11.4","3.8",".555","0.4","1.4","0.7",".800","5.1","2.7","0.6","0.3","0.2","0.5"
"*06mm4*","Ariel Hukporti","NY","C","382","FA","32.66","6%","0%","8.8","1.2",".550","0.0","0.1","0.6",".750","1.8","2.8","0.5","0.2","0.5","0.6"
"*06ccg*","Marcus Sasser","DET","PG,G","383","FA","32.54","14%","+3%","12.6","4.7",".412","1.2","3.0","0.5",".929","5.5","1.1","2.1","0.7","0.1","0.8"
"*06218*","Jeremy Sochan","NY","PF,F,C","384","FA","32.15","29%","0%","10.6","2.9",".491","0.2","0.9","0.5",".700","3.4","2.3","0.8","0.4","0.1","0.5"
"*06mls*","Cam Christie","LAC","SG,G","385","FA","32.05","8%","0%","9.2","2.7",".381","0.3","1.0","1.0",".739","3.0","1.5","0.6","0.3","0.1","0.4"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F","386","Pingud","31.98","88%","0%","29.8","17.4",".388","2.8","9.4","3.4",".852","19.1","8.9","3.3","1.1","0.0","1.9"
"*06ca9*","Jordan Hawkins","NO","SG,G","387","FA","31.95","13%","0%","12.0","4.2",".320","0.7","2.4","0.5",".800","3.8","1.5","0.6","0.2","0.2","0.5"
"*03e6u*","Bogdan Bogdanovic","LAC","SG,G,SF,F","388","FA","31.81","14%","0%","21.1","6.9",".384","1.4","4.2","1.3",".800","7.7","2.8","2.5","0.5","0.1","1.3"
"*03apx*","Gary Harris","MIL","SG,G","389","FA","31.78","3%","0%","13.7","2.0",".451","0.6","1.4","0.2",".889","2.6","1.2","1.0","0.6","0.2","0.4"
"*031m0*","Kelly Olynyk","SA","C","390","FA","31.76","7%","0%","8.9","2.4",".478","0.3","1.2","0.8",".688","3.2","1.8","1.2","0.4","0.1","0.6"
"*06vxq*","Jahmai Mashack","MEM","PG,SG,G,SF,F","391","FA","31.75","10%","0%","18.7","5.3",".381","0.6","2.1","0.7",".529","5.0","2.2","1.3","1.2","0.5","1.0"
"*051p0*","Matisse Thybulle","POR","SG,G,SF,F","392","FA","31.41","17%","+1%","13.3","3.9",".385","1.1","2.8","0.6","1.000","4.7","1.8","0.8","1.9","0.5","0.7"
"*06gno*","Pete Nance","MIL","PF,F","393","FA","31.1","5%","0%","12.1","3.2",".564","0.9","1.9","0.1",".000","4.5","2.2","0.7","0.2","0.2","0.5"
"*059g0*","Amir Coffey","PHO","SG,G,SF,PF,F","394","FA","30.66","5%","0%","10.2","2.2",".484","0.3","1.0","0.7",".786","2.9","1.2","0.6","0.2","0.1","0.1"
"*06cdf*","Julian Phillips","MIN","SF,PF,F","395","FA","30.52","5%","0%","8.5","2.3",".429","0.4","1.2","0.4",".882","2.7","1.1","0.2","0.5","0.2","0.2"
"*05wkc*","Ethan Thompson","IND","SG,G","396","FA","30.42","5%","0%","17.4","5.0",".367","1.0","3.1","0.7",".706","5.1","1.8","1.5","0.6","0.3","0.7"
"*043ib*","Dorian Finney-Smith","HOU","SF,PF,F","397","FA","30.27","11%","0%","17.5","3.6",".319","0.8","2.8","0.2",".857","3.2","2.6","1.0","0.5","0.2","0.6"
"*0621j*","Malaki Branham","(N/A)","PG,SG,G","398","FA","29.89","5%","0%","9.8","3.3",".473","0.5","1.3","1.2",".824","4.6","1.6","0.8","0.4","0.1","0.5"
"*0621o*","Blake Wesley","POR","PG,SG,G","399","FA","29.83","8%","0%","13.0","4.3",".456","0.4","1.3","1.4",".545","5.1","1.3","2.3","0.7","0.1","1.1"
"*05uj6*","Jeremiah Robinson-Earl","(N/A)","PF,F,C","400","FA","29.79","3%","0%","16.4","4.5",".370","0.5","1.9","0.8",".944","4.6","4.7","0.7","0.4","0.0","0.5"
"*06q2e*","Jamison Battle","TOR","SF,PF,F","401","FA","29.77","5%","0%","8.8","2.4",".496","0.6","1.4","0.2",".700","3.1","1.5","0.4","0.1","0.0","0.3"
"*06v5o*","Liam McNeeley","CHA","SF,PF,F","402","FA","29.75","18%","0%","12.2","3.1",".386","0.8","2.1","1.1",".806","4.1","2.1","0.8","0.2","0.1","0.4"
"*06mkj*","Terrence Shannon","MIN","SG,G,SF,PF,F","403","FA","29.61","17%","0%","11.4","3.2",".402","0.6","1.5","1.1",".784","4.1","1.0","0.6","0.3","0.0","0.5"
"*06vxp*","Taelon Peter","IND","PG,SG,G","404","FA","29.38","8%","-1%","11.2","3.6",".375","1.0","3.1","0.4",".538","3.9","1.4","1.0","0.5","0.1","0.6"
"*05qsx*","Obi Toppin","IND","PF,F,C","405","FA","29.11","40%","-1%","16.7","7.2",".441","1.1","4.2","2.0",".846","9.1","4.2","1.9","0.5","0.0","1.2"
"*04jw4*","Maxi Kleber","LAL","PF,F,C","406","FA","29.02","3%","0%","11.0","1.7",".467","0.2","0.6","0.6",".636","2.2","1.9","0.6","0.4","0.3","0.4"
"*06v84*","Kam Jones","IND","PG,SG,G","407","FA","28.97","12%","-1%","15.4","4.1",".415","0.6","1.8","0.3",".500","4.1","1.4","2.7","0.5","0.0","0.9"
"*06v5f*","Khaman Maluach","PHO","C","408","FA","28.94","35%","-1%","7.9","1.8",".522","0.1","0.4","0.5",".789","2.4","2.2","0.2","0.1","0.5","0.6"
"*0623a*","Scotty Pippen","MEM","PG,G","409","FA","28.81","51%","-7%","21.2","9.6",".448","1.0","3.2","2.3",".783","11.4","2.2","4.7","1.9","0.4","2.7"
"*0621w*","Christian Koloko","ATL","C","410","FA","28.49","4%","0%","13.6","2.7",".435","0.0","0.2","0.4",".700","2.7","3.1","0.6","0.6","0.9","0.6"
"*06mm5*","PJ Hall","CHA","C","411","FA","28.37","5%","0%","11.2","3.1",".508","0.2","0.3","1.5",".793","4.5","3.9","0.5","0.2","0.5","0.8"
"*03r7l*","Larry Nance","CLE","PF,F,C","412","FA","28.28","7%","0%","12.2","3.3",".381","0.6","1.8","0.2",".600","3.3","2.6","0.9","0.5","0.1","0.4"
"*06mkf*","AJ Johnson","DAL","PG,SG,G","413","FA","28.08","12%","0%","8.8","3.2",".326","0.2","1.1","0.6",".826","2.8","1.1","0.9","0.2","0.1","0.6"
"*06v5m*","Joan Beringer","MIN","PF,F,C","414","FA","27.97","24%","0%","6.6","2.0",".631","0.0","0.0","0.5",".647","2.8","1.9","0.2","0.1","0.4","0.2"
"*03r7v*","Pat Connaughton","CHA","SG,G,SF,F","415","FA","27.6","3%","0%","7.4","2.2",".449","0.5","1.4","0.5",".667","2.9","1.5","0.5","0.3","0.0","0.3"
"*06ccb*","Nick Smith","LAL","SG,G","416","FA","27.58","9%","0%","12.7","5.3",".421","1.1","2.8","0.4",".636","5.8","0.8","1.1","0.4","0.1","0.8"
"*0661b*","Jamal Cain","ORL","SG,G,SF,F","417","FA","27.32","3%","+1%","8.5","2.9",".427","0.6","1.5","0.8",".818","3.7","1.2","0.4","0.3","0.1","0.4"
"*05ujg*","Isaiah Livers","PHO","PF,F","418","FA","27.27","2%","0%","9.7","1.8",".344","0.3","1.1","0.3",".750","1.8","1.7","0.6","0.4","0.2","0.3"
"*06mm8*","Keshad Johnson","MIA","SF,F","419","FA","27.26","4%","0%","8.1","3.2",".432","0.5","1.5","0.8",".667","3.8","2.0","0.1","0.4","0.3","0.5"
"*04ewc*","Zach Collins","CHI","PF,F,C","420","FA","27.2","15%","0%","18.4","6.4",".578","0.9","2.1","2.0",".700","9.7","5.6","1.5","0.2","0.4","1.0"
"*06v5e*","Yang Hansen","POR","C","421","FA","27.16","36%","0%","7.1","2.4",".301","0.1","1.0","0.7",".828","2.2","1.5","0.6","0.1","0.2","0.8"
"*0621l*","Walker Kessler","UTA","C","422","FA","27.05","61%","0%","30.8","7.4",".703","1.2","1.6","4.0",".700","14.4","10.8","3.0","1.4","1.8","3.2"
"*06gix*","Duop Reath","(N/A)","C","423","FA","26.66","3%","0%","8.1","2.3",".446","0.7","1.7","0.2",".833","2.9","1.2","0.3","0.2","0.3","0.2"
"*03ad7*","Kevon Looney","NO","C","424","FA","26.63","7%","0%","13.9","2.9",".442","0.1","0.5","0.4",".625","2.9","5.3","1.4","0.3","0.5","0.4"
"*06mlo*","KJ Simpson","DEN","PG,G","425","FA","26.44","6%","0%","14.5","5.6",".344","0.7","2.3","1.1",".611","5.2","2.0","2.5","0.9","0.0","1.4"
"*052fs*","Garrison Mathews","(N/A)","SG,G,SF,F","426","FA","26.08","1%","0%","13.1","3.5",".404","1.1","3.1","1.5",".826","5.2","1.1","0.7","0.4","0.2","0.2"
"*06cef*","Oscar Tshiebwe","UTA","C","427","FA","26.02","7%","0%","13.2","3.6",".638","0.0","0.0","0.8",".538","5.1","4.6","0.8","0.4","0.1","0.3"
"*0722s*","Chaney Johnson","BKN","SF,PF,F","428","FA","25.93","16%","+14%","20.5","4.6",".486","0.6","2.0","2.8",".773","7.3","4.8","2.3","1.1","0.6","0.9"
"*05qt9*","Killian Hayes","SAC","PG,SG,G","429","FA","25.74","11%","+2%","17.4","6.1",".306","0.7","2.7","0.7",".900","5.1","2.6","3.4","0.5","0.2","1.1"
"*04xhz*","Jordan McLaughlin","SA","PG,G","430","FA","25.17","2%","0%","6.4","1.9",".406","0.4","1.0","0.1",".800","2.1","0.7","0.9","0.4","0.1","0.4"
"*042n8*","Taurean Prince","MIL","SG,G,SF,F","431","FA","25.09","10%","0%","19.8","5.0",".440","1.5","3.6","0.2","1.000","6.1","1.8","0.9","0.6","0.1","0.5"
"*05qve*","Jae'Sean Tate","HOU","SF,F","432","FA","25.07","3%","0%","8.4","2.3",".506","0.2","0.7","0.2",".571","2.6","1.4","0.5","0.3","0.1","0.3"
"*06233*","Ron Harper","BOS","SF,F","433","FA","25.07","4%","0%","10.3","3.3",".385","0.9","2.6","0.1",".500","3.4","1.5","0.6","0.2","0.3","0.2"
"*06mke*","DaRon Holmes","DEN","PF,F,C","434","FA","24.82","18%","0%","9.8","2.8",".500","0.9","2.0","0.6",".818","4.2","1.5","0.8","0.0","0.2","0.6"
"*0621n*","MarJon Beauchamp","PHI","SG,G,SF,F","435","FA","24.82","5%","0%","16.5","5.7",".490","1.3","3.4","1.7",".800","8.2","2.8","1.3","0.8","0.3","0.9"
"*03avi*","Doug McDermott","SAC","SF,F","436","FA","24.69","5%","+4%","13.4","4.2",".410","1.6","4.0","0.1","1.000","5.1","1.1","0.5","0.2","0.1","0.5"
"*0723f*","Chris Youngblood","POR","PG,SG,G","437","FA","24.32","4%","0%","5.4","1.9",".333","0.5","1.6","0.3",".900","2.0","0.9","0.3","0.1","0.1","0.1"
"*05yoh*","Lindy Waters","SA","SG,G,SF,F","438","FA","24.17","2%","0%","7.3","2.1",".403","0.7","1.9","0.0","1.000","2.4","0.8","0.5","0.1","0.0","0.2"
"*06mmd*","Blake Hinson","UTA","SF,PF,F","439","FA","24.11","6%","-1%","20.2","6.9",".493","2.5","5.2","0.6",".500","9.6","2.4","0.8","0.1","0.1","0.2"
"*005l3*","DeAndre Jordan","NO","C","440","FA","23.93","4%","0%","16.3","2.3",".696","0.0","0.0","1.5",".600","4.1","6.4","0.8","0.3","0.8","0.9"
"*07243*","L.J. Cryer","GS","PG,SG,G","441","FA","23.77","5%","-1%","13.7","5.5",".433","2.0","4.5","1.1",".917","7.7","1.5","0.5","0.2","0.0","0.6"
"*06mm1*","Bronny James","LAL","PG,SG,G","442","FA","23.68","14%","0%","7.0","2.0",".397","0.4","0.9","0.2",".800","2.1","0.5","1.2","0.3","0.1","0.4"
"*06pw1*","RayJ Dennis","ATL","PG,G","443","FA","23.56","5%","0%","11.2","4.6",".301","0.8","2.4","0.6",".889","4.0","1.4","1.9","0.3","0.3","0.9"
"*06cdd*","Andre Jackson","MIL","SG,G","444","FA","23.52","4%","0%","5.9","1.7",".258","0.2","0.9","0.3",".900","1.3","1.0","0.7","0.2","0.1","0.4"
"*062do*","Tyson Etienne","BKN","PG,SG,G","445","FA","23.44","5%","+2%","9.9","3.8",".386","1.4","3.3","0.9",".857","5.1","0.7","0.7","0.1","0.0","0.5"
"*072af*","Julian Reese","WAS","PF,F,C","446","FA","23.44","19%","-8%","29.6","5.4",".593","0.0","0.0","3.6",".778","9.2","9.4","1.8","1.0","0.4","2.4"
"*06v8a*","Brooks Barnhizer","OKC","PG,SG,G","447","FA","23.37","10%","0%","7.9","1.4",".380","0.1","0.5","0.2",".667","1.3","1.8","0.5","0.2","0.1","0.2"
"*06pvs*","Malevy Leons","GS","SF,PF,F","448","FA","23.27","2%","0%","9.3","2.4",".432","0.2","0.7","0.4",".750","2.6","2.0","0.6","0.4","0.4","0.3"
"*06cdk*","Jalen Slawson","IND","SF,F","449","FA","23.24","12%","+8%","25.6","6.4",".375","1.2","3.8","1.8",".889","7.6","4.6","3.0","1.6","1.6","1.0"
"*06ccx*","Hunter Tyson","(N/A)","PF,F","450","FA","23.22","2%","0%","7.7","2.5",".269","0.3","1.6","0.6",".846","2.2","1.7","0.8","0.1","0.0","0.2"
"*06mld*","Jonathan Mogbo","TOR","PF,F,C","451","FA","23.22","12%","0%","6.2","1.2",".543","0.0","0.0","0.3",".500","1.4","1.6","0.5","0.3","0.2","0.3"
"*06v83*","Chaz Lanier","DET","PG,SG,G","452","FA","23.16","10%","0%","7.9","2.6",".324","0.6","2.0","0.2","1.000","2.5","0.7","0.5","0.3","0.0","0.1"
"*0622g*","JD Davison","HOU","PG,G","453","FA","23.15","4%","0%","7.3","2.2",".389","0.3","1.1","0.4",".556","2.2","0.9","1.1","0.2","0.2","0.3"
"*0017e*","Chris Paul","(N/A)","PG,G","454","FA","23.04","19%","0%","14.2","3.5",".321","0.6","1.9","0.1",".500","2.9","1.8","3.3","0.7","0.0","1.0"
"*07231*","Tyler Burton","MEM","SF,PF,F","455","FA","23","3%","+2%","25.4","8.2",".306","1.7","5.3","2.5",".867","8.8","4.3","0.8","0.8","0.3","1.2"
"*06cc8*","Dereck Lively","DAL","C","456","FA","22.91","55%","0%","16.5","2.6",".611","0.0","0.0","1.4",".800","4.3","5.3","1.9","0.6","1.6","1.4"
"*06pwq*","Tolu Smith","DET","PF,F","457","FA","22.83","4%","0%","10.5","2.7",".500","0.0","0.0","2.0",".722","4.1","3.9","0.8","0.2","0.6","0.6"
"*06cf3*","Drew Timme","LAL","PF,F,C","458","FA","22.75","5%","0%","8.5","2.4",".588","0.4","0.9","0.3",".571","3.4","1.3","0.8","0.2","0.0","0.3"
"*03e7e*","Thanasis Antetokounmpo","MIL","SF,F","459","FA","22.7","1%","0%","3.3","0.8",".524","0.0","0.1","0.8",".636","1.3","0.8","0.2","0.3","0.2","0.2"
"*0664y*","Nate Williams","GS","SG,G","460","FA","22.49","2%","-1%","13.4","4.7",".532","0.7","1.5","1.3",".846","6.8","1.7","0.9","0.3","0.0","0.8"
"*06224*","E.J. Liddell","BKN","PF,F","461","FA","22.46","4%","+1%","8.9","2.4",".439","0.4","1.4","0.3",".600","2.7","1.9","0.8","0.2","0.4","0.4"
"*06dob*","Leaky Black","WAS","SF,F","462","FA","22.45","6%","-2%","29.4","6.8",".463","1.5","3.5","1.0","1.000","8.8","5.0","1.3","0.5","0.7","0.8"
"*031m9*","Mason Plumlee","SA","C","463","FA","22.18","5%","0%","8.2","0.7",".750","0.0","0.0","0.8",".643","1.6","2.7","1.0","0.5","0.0","0.5"
"*06v85*","Alijah Martin","TOR","PG,SG,G","464","FA","22.13","9%","0%","6.4","2.1",".353","0.2","0.9","1.0",".813","2.5","0.9","0.5","0.4","0.2","0.3"
"*05uwa*","A.J. Lawson","TOR","SG,G","465","FA","22.12","2%","0%","7.9","2.9",".390","0.6","1.6","0.6","1.000","3.5","1.6","0.2","0.3","0.2","0.3"
"*073y0*","Andersson Garcia","(N/A)","PF,F","466","FA","22.11","5%","+2%","33.8","5.8",".310","0.2","2.6","1.8",".778","5.2","8.4","2.8","1.6","0.8","1.4"
"*06vyb*","Lachlan Olbrich","CHI","PF,F,C","467","FA","21.88","5%","0%","6.3","1.2",".452","0.1","0.3","0.5",".333","1.3","1.8","0.7","0.2","0.1","0.3"
"*0623h*","Alondes Williams","(N/A)","SG,G","468","FA","21.69","4%","0%","25.2","6.5",".615","1.3","3.5","2.0",".875","11.0","6.3","3.0","0.8","0.8","1.3"
"*06pvy*","Yuki Kawamura","CHI","PG,G","469","FA","21.6","4%","0%","11.0","2.2",".333","0.5","1.5","1.2",".923","3.0","1.9","2.9","0.5","0.0","1.0"
"*001ax*","Jeff Green","HOU","PF,F","470","FA","21.59","2%","0%","5.3","2.1",".407","0.5","1.4","0.1","1.000","2.3","0.7","0.2","0.0","0.0","0.0"
"*0622j*","Luke Travers","(N/A)","SG,G","471","FA","21.28","2%","0%","8.6","3.0",".250","0.1","1.3","0.8","1.000","2.3","2.0","0.8","0.6","0.3","0.3"
"*06v8c*","Amari Williams","BOS","PF,F,C","472","FA","21.2","9%","0%","6.3","0.9",".471","0.0","0.0","0.6",".667","1.3","1.6","0.4","0.1","0.5","0.4"
"*05qtf*","Xavier Tillman","CHA","C","473","FA","20.9","4%","0%","6.2","1.6",".410","0.1","0.7","0.1",".000","1.5","1.5","0.3","0.3","0.1","0.3"
"*06vxx*","Miles Kelly","(N/A)","PG,G","474","FA","20.49","2%","0%","9.6","3.1",".364","0.7","2.4","0.1","1.000","3.1","1.7","0.9","0.3","0.1","0.4"
"*04k0q*","Nigel Hayes-Davis","(N/A)","SF,PF,F","475","FA","20.44","2%","0%","7.2","1.7",".326","0.1","0.6","0.1",".500","1.3","1.2","0.3","0.3","0.1","0.3"
"*06mm2*","Kevin McCullar","NY","SF,F","476","FA","20.39","3%","0%","6.5","1.8",".389","0.3","0.9","0.3",".400","1.8","1.3","0.9","0.3","0.0","0.6"
"*06v82*","Adou Thiero","LAL","SF,PF,F","477","FA","20.24","12%","0%","5.5","1.1",".476","0.0","0.1","0.5",".800","1.5","1.1","0.3","0.3","0.1","0.3"
"*0623d*","Johnny Juzang","(N/A)","SG,G,SF,F","478","FA","20.17","3%","0%","4.2","1.8",".421","0.3","1.1","0.4",".625","2.0","0.8","0.3","0.1","0.0","0.2"
"*0558t*","Max Strus","CLE","SG,G,SF,F","479","FA","20.16","35%","+12%","23.5","6.3",".440","2.3","5.5","1.0","1.000","8.8","7.0","2.0","0.5","0.0","1.0"
"*05uxx*","DeJon Jarreau","MEM","SG,G","480","FA","20.12","3%","+2%","21.3","6.2",".419","0.2","1.8","1.4",".714","6.4","5.0","3.8","0.6","0.4","2.2"
"*04yk1*","Haywood Highsmith","PHO","SF,PF,F","481","FA","20.08","7%","0%","13.4","3.3",".500","1.3","2.2","1.0",".833","5.5","2.2","1.2","0.7","0.0","0.0"
"*06mor*","David Jones Garcia","SA","SF,PF,F","482","FA","20.07","4%","0%","6.2","2.3",".520","0.3","0.5","0.5",".500","2.9","1.2","1.6","0.5","0.1","0.5"
"*06mkh*","Pacome Dadiet","NY","SG,G","483","FA","20.06","8%","0%","3.7","1.2",".310","0.2","0.8","0.2","1.000","1.2","0.8","0.4","0.1","0.0","0.1"
"*02nf3*","Bradley Beal","LAC","SG,G","484","FA","20","43%","0%","20.2","8.0",".375","1.2","3.2","1.3",".750","8.2","0.8","1.7","0.5","0.0","1.5"
"*07401*","Bez Mbeng","UTA","SG,G","485","FA","19.9","3%","+1%","33.4","4.6",".391","0.4","2.4","0.8","1.000","4.8","4.0","4.2","1.6","0.6","2.0"
"*0621r*","Patrick Baldwin","SAC","SF,F","486","FA","19.85","2%","0%","9.3","2.6",".429","0.6","1.4","0.9",".714","3.5","2.4","0.5","0.3","0.5","0.4"
"*06ca4*","Kobe Bufkin","LAL","SG,G","487","FA","19.84","8%","0%","8.2","3.5",".289","0.3","1.8","0.7","1.000","3.0","0.8","0.5","0.2","0.3","0.4"
"*04fj8*","Chris Boucher","(N/A)","PF,F","488","FA","19.83","13%","0%","10.5","2.8",".320","0.2","1.7","0.4",".750","2.3","2.0","0.3","0.6","0.8","0.1"
"*06hsl*","Malachi Smith","BKN","SG,G","489","FA","19.46","1%","+1%","18.6","5.2",".500","0.8","1.6","0.4","1.000","6.4","2.2","2.6","1.0","0.4","1.2"
"*0728u*","Kadary Richmond","(N/A)","PG,SG,G","490","FA","19.22","1%","0%","22.3","5.3",".625","0.7","1.3","1.0","1.000","8.3","3.3","2.7","2.7","0.3","0.7"
"*027oq*","Bismack Biyombo","SA","C","491","FA","18.88","1%","0%","5.8","0.6",".615","0.0","0.0","0.3",".714","1.0","1.0","0.2","0.2","0.0","0.3"
"*005kf*","Eric Gordon","(N/A)","SG,G,SF,F","492","FA","18.59","2%","0%","12.3","3.5",".571","1.3","2.3","0.3",".500","5.5","0.3","0.5","0.7","0.2","0.5"
"*03kqi*","Joe Ingles","MIN","SF,F","493","FA","18.44","1%","0%","4.1","0.5",".538","0.1","0.3","0.1","1.000","0.8","0.4","0.8","0.3","0.0","0.4"
"*038ia*","Seth Curry","GS","SG,G","494","FA","18.41","4%","0%","12.8","4.3",".588","1.0","1.8","0.8","1.000","6.8","1.5","1.8","0.5","0.0","0.0"
"*073o8*","Grant Nelson","(N/A)","PF,F","495","FA","18.4","1%","-1%","8.8","2.3",".556","0.0","0.0","2.5",".700","4.3","1.5","1.3","0.3","1.3","1.0"
"*06fzs*","Javonte Cooke","(N/A)","SG,G","496","FA","18.29","1%","0%","4.9","2.2",".220","0.2","1.2","0.1","1.000","1.2","1.0","0.4","0.3","0.0","0.5"
"*05uuu*","Mac McClung","CHI","SG,G","497","FA","18.1","2%","0%","11.8","6.3",".360","0.5","3.0","1.0",".750","5.8","1.3","0.5","1.3","0.5","0.8"
"*05qu8*","Omer Yurtseven","GS","C","498","FA","17.93","2%","0%","11.2","3.0",".333","0.0","0.6","2.0",".600","3.2","3.2","0.8","0.4","0.0","1.2"
"*06mlt*","Antonio Reeves","CHA","SG,G,SF,F","499","FA","17.87","4%","0%","7.3","2.2",".500","0.8","1.4","0.0","0","3.0","0.9","0.2","0.1","0.0","0.1"
"*06mmg*","Isaiah Crawford","HOU","SF,F","500","FA","17.84","2%","0%","6.0","1.3",".375","0.2","0.8","0.3",".750","1.4","0.8","0.3","0.2","0.3","0.2"
"*0621v*","Caleb Houstan","ATL","SF,F","501","FA","17.74","3%","0%","4.1","1.1",".471","0.4","0.9","0.2","1.000","1.7","0.5","0.1","0.1","0.1","0.3"
"*0621s*","TyTy Washington","LAC","PG,G","502","FA","17.74","2%","0%","5.8","1.6",".571","0.3","0.8","0.0","0","2.1","0.2","1.2","0.4","0.2","0.3"
"*05ujr*","Charles Bassey","BOS","C","503","FA","17.57","3%","0%","7.8","2.4",".500","0.0","0.0","0.6",".333","2.6","3.4","0.4","0.4","0.4","0.2"
"*06mlj*","Bobi Klintman","DET","SF,PF,F","504","FA","17.57","6%","0%","6.3","2.4",".308","0.4","1.2","0.3",".000","1.8","1.6","0.5","0.3","0.0","0.5"
"*06221*","Kennedy Chandler","UTA","PG,G","505","FA","17.56","6%","+5%","37.2","13.0",".385","2.0","4.0","7.0","1.000","19.0","5.0","4.0","1.0","0.0","0.0"
"*0015b*","Kyle Lowry","PHI","PG,G","506","FA","17.56","2%","0%","9.0","1.3",".188","0.3","1.3","0.5",".833","1.2","0.8","0.9","0.2","0.2","0.3"
"*07232*","Lawson Lovering","MEM","C","507","FA","17.51","3%","-1%","24.6","5.0",".600","0.0","0.0","2.5",".400","7.0","7.5","1.5","1.5","0.5","1.0"
"*01ng2*","Garrett Temple","TOR","SG,G","508","FA","17.38","0%","0%","3.3","0.7",".250","0.1","0.5","0.5",".667","0.8","0.4","0.4","0.2","0.1","0.4"
"*04exe*","Monte Morris","(N/A)","PG,G","509","FA","17.22","2%","0%","10.8","3.3",".350","0.3","1.3","0.7",".500","3.0","1.2","1.5","0.2","0.2","0.3"
"*06v81*","Johni Broome","PHI","SF,PF,F,C","510","FA","17.14","12%","0%","5.0","2.2",".167","0.0","0.5","0.5",".333","0.9","1.5","0.4","0.3","0.2","0.3"
"*06vxt*","Mark Sears","(N/A)","PG,G","511","FA","17.03","3%","0%","3.7","1.9",".462","0.6","1.1","1.1",".750","3.1","0.3","0.3","0.0","0.0","0.6"
"*049kf*","Mo Bamba","(N/A)","C","512","FA","16.98","3%","-3%","10.9","2.8",".455","0.0","0.0","0.0","0","2.5","5.5","0.3","0.0","0.8","0.5"
"*06ps5*","Jahmir Young","MIA","PG,G","513","FA","16.91","1%","0%","4.6","2.0",".364","0.2","0.7","0.2","1.000","1.8","0.4","0.5","0.1","0.0","0.3"
"*01en8*","Taj Gibson","MEM","C","514","FA","16.88","1%","0%","10.3","2.8",".455","0.5","1.0","0.5",".500","3.3","3.0","0.3","0.3","0.3","0.0"
"*042np*","Skal Labissiere","(N/A)","PF,F,C","515","FA","16.8","0%","0%","12.5","3.3",".600","0.3","1.7","0.0","0","4.3","3.0","1.0","0.7","0.3","0.3"
"*06pu0*","Emanuel Miller","SA","PF,F","516","FA","16.75","1%","0%","6.6","2.6",".462","0.4","1.2","0.4",".500","3.0","0.6","0.8","0.4","0.0","0.0"
"*06mp0*","Isaiah Stevens","SAC","PG,G","517","FA","16.74","1%","0%","14.3","2.3",".429","0.0","0.3","1.3","1.000","3.3","1.0","3.3","1.7","0.0","0.7"
"*0723c*","John Poulakidas","DAL","PG,SG,G","518","FA","16.58","1%","0%","15.6","4.3",".385","1.0","3.3","0.0","0","4.3","3.3","0.7","0.7","0.0","0.7"
"*051pg*","Cody Martin","(N/A)","SG,G,SF,PF,F","519","FA","16.55","2%","0%","13.8","2.5",".200","0.0","1.3","1.5",".500","1.8","3.5","0.5","1.0","0.5","1.0"
"*06mp4*","Trey Alexander","NO","SG,G","520","FA","16.48","4%","0%","8.3","1.8",".667","0.4","0.6","0.0","0","2.8","0.8","1.0","0.2","0.2","0.2"
"*06v87*","Koby Brea","PHO","PG,SG,G","521","FA","16.45","8%","0%","4.6","2.0",".417","0.7","1.5","0.3","1.000","2.7","0.3","0.5","0.0","0.0","0.0"
"*05qu1*","James Wiseman","(N/A)","C","522","FA","16.45","4%","0%","14.6","2.5",".600","0.0","0.0","0.5",".500","3.3","2.0","0.8","0.0","0.3","1.3"
"*0621p*","Wendell Moore","DET","SG,G,SF,F","523","FA","16.44","1%","0%","10.9","1.4",".571","0.0","0.2","0.4","1.000","2.0","1.2","0.6","0.4","0.4","0.2"
